codice_istat,nome_comune,node_osm
28001,Abano Terme,1508652510
29001,Adria,930163050
23001,Affi,1079995055
28002,Agna,1224422096
25001,Agordo,1711528384
24001,Agugliaro,1475055738
23002,Albaredo d'Adige,10577800960
24002,Albettone,4906312000
28003,Albignasego,471806956
25003,Alleghe,797333441
24003,Alonte,3029144054
25072,Alpago,805517161
24004,Altavilla Vicentina,12771109282
24005,Altissimo,880593673
26001,Altivole,590561822
23003,Angiari,3914944108
28004,Anguillara Veneta,2507090115
27001,Annone Veneto,1548925383
26002,Arcade,595791356
23004,Arcole,1278107290
24006,Arcugnano,295152010
29002,Ariano nel Polesine,1184558225
28005,ArquÃ  Petrarca,350564313
29003,ArquÃ  Polesine,6378791985
28006,Arre,12103285646
24007,Arsiero,2820954521
25004,ArsiÃ¨,1952707038
28007,Arzergrande,1916181637
24008,Arzignano,343565609
24009,Asiago,3079071569
24010,Asigliano Veneto,4140578268
26003,Asolo,185468559
25005,Auronzo di Cadore,1342137750
23005,Badia Calavena,5315467731
29004,Badia Polesine,1514383355
28008,Bagnoli di Sopra,1728099820
29005,Bagnolo di Po,1820034466
28009,Baone,519635784
24124,Barbarano Mossano,3019068704
28010,Barbona,261661441
23006,Bardolino,604935808
24012,Bassano del Grappa,1433744821
28011,Battaglia Terme,598837717
23007,Belfiore,9182182030
25006,Belluno,276614487
29006,Bergantino,1230549115
23008,Bevilacqua,10921035921
28012,Boara Pisani,2211636381
24013,Bolzano Vicentino,1503801996
23009,Bonavigo,1519348005
25007,Borca di Cadore,11250942208
25074,Borgo Valbelluna,313204194
28107,Borgo Veneto,1601018109
28013,Borgoricco,1459106734
26004,Borso del Grappa,426470554
29007,Bosaro,859536590
23010,Boschi Sant'Anna,1237335415
23011,Bosco Chiesanuova,6612290313
28014,Bovolenta,1481320664
23012,Bovolone,1427738191
26005,Breda di Piave,524694028
24014,Breganze,1309568923
24015,Brendola,1369089871
23013,Brentino Belluno,3080638275
23014,Brenzone sul Garda,1447295003
24016,Bressanvido,684354834
24017,Brogliano,2520019986
28015,Brugine,1373696144
23015,Bussolengo,1026400059
23016,Buttapietra,3895466596
28016,Cadoneghe,8329924193
26006,Caerano di San Marco,1307161124
25008,Calalzo di Cadore,12861021267
23017,Caldiero,6428167250
24018,Caldogno,1787182577
29008,Calto,1848249992
24019,Caltrano,448826929
24020,Calvene,12506916200
24021,Camisano Vicentino,1289335979
27002,Campagna Lupia,775578508
24022,Campiglia dei Berici,3678096701
28020,Campo San Martino,1539622870
28017,Campodarsego,9903781051
28018,Campodoro,2102537239
27003,Campolongo Maggiore,13188302140
27004,Camponogara,1887858047
28019,Camposampiero,1244831560
25023,Canale d'Agordo,11830361258
29009,Canaro,281416361
29010,Canda,3914959324
28021,Candiana,1149002621
27005,Caorle,1589241801
26007,Cappella Maggiore,2503659365
23018,Caprino Veronese,668210544
26008,Carbonera,1521003058
28023,Carmignano di Brenta,10022534359
24024,CarrÃ¨,864768873
24025,Cartigliano,951952666
28026,Cartura,432035341
28027,Casale di Scodosia,1571726035
26009,Casale sul Sile,3684991746
23019,Casaleone,1028185553
28028,Casalserugo,3792776526
26010,Casier,3062722890
24026,Cassola,300870187
23020,Castagnaro,1237055612
24027,Castegnero,287334135
23021,Castel d'Azzano,1720386836
28029,Castelbaldo,1237336565
26011,Castelcucco,2628544120
26012,Castelfranco Veneto,313271624
24028,Castelgomberto,6899092218
29011,Castelguglielmo,4756762913
26013,Castello di Godego,1898421449
29012,Castelmassa,1180759295
29013,Castelnovo Bariano,1638434460
23022,Castelnuovo del Garda,1666073795
23023,Cavaion Veronese,319815369
27044,Cavallino-Treporti,3199728185
27006,Cavarzere,1472235501
26014,Cavaso del Tomba,1438778492
23024,Cazzano di Tramigna,829805580
27007,Ceggia,2313163329
25010,Cencenighe Agordino,270098551
29014,Ceneselli,1839641596
23025,Cerea,1412151452
29015,Ceregnano,871763036
23026,Cerro Veronese,1251565051
28030,Cervarese Santa Croce,766607845
25011,Cesiomaggiore,286276346
26015,Cessalto,1428353555
24029,Chiampo,6480014735
26016,Chiarano,425908080
25012,Chies d'Alpago,3540005483
27008,Chioggia,888682063
24030,Chiuppano,702004507
25013,Cibiana di Cadore,2601038338
26017,Cimadolmo,1431439566
27009,Cinto Caomaggiore,447806046
28031,Cinto Euganeo,539763790
26018,Cison di Valmarino,304874101
28032,Cittadella,306287787
28033,Codevigo,2222277861
26019,CodognÃ¨,1438429489
24032,Cogollo del Cengio,3966419572
24126,Colceresa,288348223
25014,Colle Santa Lucia,1418538392
26020,Colle Umberto,1569663631
23027,Cologna Veneta,1502975640
23028,Colognola ai Colli,1955825904
25015,Comelico Superiore,347330132
27010,Cona,307967602
23029,Concamarise,1867155539
27011,Concordia Sagittaria,3010345910
26021,Conegliano,769869668
28034,Conselve,6415507741
29017,Corbola,1169730440
26022,Cordignano,538564752
24034,Cornedo Vicentino,5299931856
26023,Cornuda,297056447
28035,Correzzola,694404550
25016,Cortina d'Ampezzo,8525053733
29018,Costa di Rovigo,1837793338
24035,Costabissara,8154327436
23030,Costermano sul Garda,3558473399
24036,Creazzo,330283077
24037,Crespadoro,1426818750
29019,Crespino,899174709
26025,Crocetta del Montello,1128440335
28036,Curtarolo,663655403
25017,Danta di Cadore,4256232058
23031,DolcÃ¨,261616853
27012,Dolo,60836755
25018,Domegge di Cadore,815466482
28106,Due Carrare,798443417
24038,Dueville,1966319005
24039,Enego,1797113262
27013,Eraclea,1420486882
23033,Erbezzo,1371989441
23032,ErbÃ¨,1737273614
28037,Este,353847207
25019,Falcade,265677605
24040,Fara Vicentino,343450263
26026,Farra di Soligo,3091976681
25021,Feltre,2485525424
23034,Ferrara di Monte Baldo,471569720
29021,Ficarolo,270520815
29022,Fiesso Umbertiano,2204403707
27014,Fiesso d'Artico,1383013270
26027,Follina,1234623651
26028,Fontanelle,1431684791
28038,Fontaniva,329655944
26029,Fonte,185591281
25022,Fonzaso,1803977489
27015,Fossalta di Piave,453550017
27016,Fossalta di Portogruaro,1879100904
27017,FossÃ²,1830668674
24041,Foza,1330646441
29023,Frassinelle Polesine,1839669095
29024,Fratta Polesine,255906252
26030,Fregona,658192424
23035,Fumane,3371533279
26031,Gaiarine,853795550
29025,Gaiba,574319005
28039,Galliera Veneta,2751544003
24042,Gallio,516679211
28040,Galzignano Terme,12150006974
24043,Gambellara,3963979757
23036,Garda,261692746
29026,Gavello,899198684
28041,Gazzo,840120859
23037,Gazzo Veronese,1526418251
29027,Giacciano con Baruchella,1839633674
26032,Giavera del Montello,656679957
26033,Godega di Sant'Urbano,7307160736
26034,Gorgo al Monticano,13766752907
25025,Gosaldo,1856190009
28042,Grantorto,10683351497
28043,Granze,871975458
23038,Grezzana,309973620
24046,Grisignano di Zocco,1532897510
27018,Gruaro,1954885724
24047,Grumolo delle Abbadesse,521230556
29028,Guarda Veneta,908209817
23039,Illasi,1821225200
23041,Isola Rizza,3138113979
24048,Isola Vicentina,1581090158
23040,Isola della Scala,1891811779
26035,Istrana,1960876876
27019,Jesolo,11407972887
25027,La Valle Agordina,2318483243
24049,Laghi,3246507380
25026,Lamon,1343814844
